individual	type	info	file	etag
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_18_0.fastq.gz	dbd3667d2b37d5e3c7de704251bda869-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_19_0.fastq.gz	41d7919d3778e2fa7f807431264b1078-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_20_0.fastq.gz	3354ebc803b72e43cd397b9a2df6e93a-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_21_0.fastq.gz	709413bcc9c4dba9d067cd5db8581c72-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_22_0.fastq.gz	3e36c550987e8ffbbc47a4ae66ab27c2-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_23_0.fastq.gz	d056da12b7fa12b2f34da48cbb93e999-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_24_0.fastq.gz	b917247aa423bfe30b9b36f12eb89d67-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_25_0.fastq.gz	7dff29bb67f90138755895a80d3d6969-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_26_0.fastq.gz	41b5f497ab7315a69172e3e539ee4553-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_27_0.fastq.gz	716cb5c2e37cf614f14f2ed77415559d-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_28_0.fastq.gz	c1c0f3b738dba2748a0bbd88e494083c-4
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_29_0.fastq.gz	1520d5a525bd7bae70266bc9dce0bc97-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_30_0.fastq.gz	40047a1929d202f133aaa2cfe12cccb3-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_31_0.fastq.gz	eff6296add1c2b841830c5c960da5269-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_32_0.fastq.gz	e6471a5417ffdf809ff5f74f0a62bb66-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_33_0.fastq.gz	9531bbf9c1ceceee037d36482a991a97-4
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_34_0.fastq.gz	408b276967996885c0f071a3d414dc83-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_35_0.fastq.gz	fd88f12087bd0dcbbdc85dc981ac139f-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_36_0.fastq.gz	cf08d5c2a92cd6478aabda2924312ed8-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_37_0.fastq.gz	3db9b869c7a00526e17bd5d4b1eb7b45-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_38_0.fastq.gz	f078e4965457c79850b874ad489b6e2f-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_39_0.fastq.gz	2590b043cdd852f0e41515abf46ff5d0-3
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_40_0.fastq.gz	d37e8cd7c80d3b81d0dc60ac6d80bf59-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_41_0.fastq.gz	434747182a4bca4b0c90b3b03ccb63cf-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_42_0.fastq.gz	85c0f4f246c468746f3282cf306af6e3-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_43_0.fastq.gz	6eb857f33f6387642a74e3cad8fc1113-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_44_0.fastq.gz	0622d2c2e377040f352a33699ae2c31f-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_45_0.fastq.gz	4f218125d5320fec7718c95ef81ee1fc-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_46_0.fastq.gz	0665192112fd13bd61ae136540cf0d9a-4
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_47_0.fastq.gz	29206cffb3d056101fd7e47940695ea1-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_48_0.fastq.gz	fa606d2d0a0636574633e730cceb102e-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_49_0.fastq.gz	0e7e91cbf526ad07dab84e6035aebbca-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_50_0.fastq.gz	43a5aeeaed7ffdd26aa55ff8b61736e4-4
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_51_0.fastq.gz	14f56ea7e15e60346e188891977666e7-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_52_0.fastq.gz	1df50091b6c117ef00da82f56f43ab82-4
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_53_0.fastq.gz	433b8b455cce6cdd68882a2ec84541ce-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_54_0.fastq.gz	bd3095c346cb7bd7d1c84604807e1b3d-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_55_0.fastq.gz	a296dd79e608c262c36a2a2245367b60-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_56_0.fastq.gz	b417d1901c5654838a688d0b0f4d36fd-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_57_0.fastq.gz	2261ce2d098eae23f681599a51744377-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_58_0.fastq.gz	ed8a1b8823200b1a87353f7c3aff9b79-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_59_0.fastq.gz	849cad57c0ecb83e2244709a80d63529-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_60_0.fastq.gz	be0e25b2eb2159e8ec21453dc35e663a-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_61_0.fastq.gz	3a1ba8956af26afaf47bfe6438c271cd-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_62_0.fastq.gz	0e1105bb0f844781cc92bae4661b5c8d-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_63_0.fastq.gz	80f40fedf040191a7d40403d6cc6e600-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_64_0.fastq.gz	34d20b876a71e0fe210c3143f4750e03-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_65_0.fastq.gz	562e3342aef33fdd19b57523f9c4a0a1-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_66_0.fastq.gz	f71db288b705e0a287ebfeeb50e60482-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_67_0.fastq.gz	35c99778eae1f44f1201b3c0eead4d24-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_68_0.fastq.gz	85609839d02bff60db65479e78a9db28-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_69_0.fastq.gz	4a9e2a5e27c15a1ccf32eec22d20388b-5
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_70_0.fastq.gz	dcd552bac836f29b143041339fff88a2-2
ilNocFimb1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Noctua_fimbriata/ilNocFimb1/genomic_data/ont/fastq_pass/fastq_runid_f85fc51c747daba0918c6b5eb48880856d913dcb_client0_71_0.fastq.gz	21dc79fc12be746900b849b0ac8a528e-5
