individual	type	info	file	etag
ilEreAeth1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Erebia_aethiops/ilEreAeth1/genomic_data/10x/32892_5%231.cram	de71abd5b155de6656883c792fb08cba-425
ilEreAeth1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Erebia_aethiops/ilEreAeth1/genomic_data/10x/32892_5%232.cram	161de7e3133f9e00ac6326c71cbcb677-337
ilEreAeth1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Erebia_aethiops/ilEreAeth1/genomic_data/10x/32892_5%233.cram	b72833423c431be198be6bca93dc71f5-366
ilEreAeth1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Erebia_aethiops/ilEreAeth1/genomic_data/10x/32892_5%234.cram	606fda443e4c430bc7e807f67bb8c1e4-460
