individual	type	info	file	etag
ilCosTrap1	ont.fasta_pass		https://darwin.cog.sanger.ac.uk/insects/Cosmia_trapezina/ilCosTrap1/genomic_data/ont/ilCosTrap1.ont.fasta.gz	4ee13fcd47f5e4f5a8aa7f57622442d3-1286
ilCosTrap1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Cosmia_trapezina/ilCosTrap1/genomic_data/pacbio/m64089_191016_110352.bc1002_BAK8A_OA--bc1002_BAK8A_OA.ccs.bam	8adb94811531e47476431a7e61ab3608-1138
ilCosTrap1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Cosmia_trapezina/ilCosTrap1/genomic_data/pacbio/m64089_191016_110352.bc1002_BAK8A_OA--bc1002_BAK8A_OA.ccs.bam.pbi	f6d283ee79e29169323cf857bbce9ec8-2
