individual	type	info	file	etag
ilNotUddm1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Notocelia_uddmanniana/ilNotUddm1/genomic_data/pacbio/m64089_191016_110352.bc1001_BAK8A_OA--bc1001_BAK8A_OA.ccs.bam	69a6852040ce1131ecb8ca7e941340fe-1515
ilNotUddm1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Notocelia_uddmanniana/ilNotUddm1/genomic_data/pacbio/m64089_191016_110352.bc1001_BAK8A_OA--bc1001_BAK8A_OA.ccs.bam.pbi	1100cce32972e04f129284e228f632a3-2
ilNotUddm1	pacbio		https://darwin.cog.sanger.ac.uk/insects/Notocelia_uddmanniana/ilNotUddm1/genomic_data/pacbio/m64089_191016_110352.bc1001_BAK8A_OA--bc1001_BAK8A_OA.ccs.stats	2e50607737b6a75e754f2850b8df61c5
