individual	type	info	file	etag
idChePaga1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Cheilosia_pagana/idChePaga1/genomic_data/10x/33253_7%235.cram	1b4b7ee512772ca6b48c92800b18727b-382
idChePaga1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Cheilosia_pagana/idChePaga1/genomic_data/10x/33253_7%236.cram	41b4da04d7bca06ae6a50a0576cdc5a0-479
idChePaga1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Cheilosia_pagana/idChePaga1/genomic_data/10x/33253_7%237.cram	ce0cc960e43f323885c63194ca8d04ec-309
idChePaga1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Cheilosia_pagana/idChePaga1/genomic_data/10x/33253_7%238.cram	51e32a8fc6c4552063f3260026427113-340
